epoch,loss,mse,total_loss,reconstruction_loss,kl_loss,val_loss,val_mse,val_total_loss,val_reconstruction_loss,val_kl_loss
0.000000000000000000e+00,5.862520217895507812e+00,2.931260108947753906e+00,2.914038658142089844e+00,2.914038658142089844e+00,1.778861522674560547e+00,3.157595634460449219e+00,1.578797817230224609e+00,1.579618930816650391e+00,1.579618930816650391e+00,3.198908865451812744e-01
1.000000000000000000e+00,4.741855144500732422e+00,2.370927572250366211e+00,2.359350919723510742e+00,2.359350919723510742e+00,1.822010040283203125e+00,3.006534576416015625e+00,1.503267288208007812e+00,1.504368185997009277e+00,1.504368185997009277e+00,3.180530667304992676e-01
2.000000000000000000e+00,3.869396924972534180e+00,1.934698462486267090e+00,1.925300121307373047e+00,1.925300121307373047e+00,1.870169758796691895e+00,2.828506469726562500e+00,1.414253234863281250e+00,1.415307521820068359e+00,1.415307521820068359e+00,3.287920951843261719e-01
3.000000000000000000e+00,3.230862855911254883e+00,1.615431427955627441e+00,1.608578801155090332e+00,1.608578801155090332e+00,1.963566303253173828e+00,2.698533058166503906e+00,1.349266529083251953e+00,1.350324630737304688e+00,1.350324630737304688e+00,3.698290586471557617e-01
4.000000000000000000e+00,2.764288663864135742e+00,1.382144331932067871e+00,1.376393079757690430e+00,1.376393079757690430e+00,2.078782081604003906e+00,2.574702024459838867e+00,1.287351012229919434e+00,1.288527727127075195e+00,1.288527727127075195e+00,4.416255354881286621e-01
5.000000000000000000e+00,2.407842874526977539e+00,1.203921437263488770e+00,1.200747370719909668e+00,1.200747370719909668e+00,2.201735973358154297e+00,2.474057912826538086e+00,1.237028956413269043e+00,1.238098502159118652e+00,1.238098502159118652e+00,5.396380424499511719e-01
6.000000000000000000e+00,2.148074150085449219e+00,1.074037075042724609e+00,1.070185184478759766e+00,1.070185184478759766e+00,2.325358629226684570e+00,2.372654199600219727e+00,1.186327099800109863e+00,1.187622189521789551e+00,1.187622189521789551e+00,6.323943138122558594e-01
7.000000000000000000e+00,1.994863629341125488e+00,9.974318146705627441e-01,9.966512322425842285e-01,9.966512322425842285e-01,2.433108091354370117e+00,2.287536382675170898e+00,1.143768191337585449e+00,1.144947171211242676e+00,1.144947171211242676e+00,7.242538928985595703e-01
8.000000000000000000e+00,1.884011149406433105e+00,9.420055747032165527e-01,9.392130374908447266e-01,9.392130374908447266e-01,2.541034936904907227e+00,2.179456710815429688e+00,1.089728355407714844e+00,1.090993046760559082e+00,1.090993046760559082e+00,8.208001852035522461e-01
9.000000000000000000e+00,1.797573208808898926e+00,8.987866044044494629e-01,8.990000486373901367e-01,8.990000486373901367e-01,2.619141101837158203e+00,2.073386669158935547e+00,1.036693334579467773e+00,1.038067817687988281e+00,1.038067817687988281e+00,9.152004718780517578e-01
1.000000000000000000e+01,1.716876268386840820e+00,8.584381341934204102e-01,8.574110269546508789e-01,8.574110269546508789e-01,2.682881355285644531e+00,1.973013520240783691e+00,9.865067005157470703e-01,9.878111481666564941e-01,9.878111481666564941e-01,1.016680002212524414e+00
1.100000000000000000e+01,1.653323888778686523e+00,8.266619443893432617e-01,8.274524211883544922e-01,8.274524211883544922e-01,2.736000537872314453e+00,1.891702890396118164e+00,9.458514451980590820e-01,9.472843408584594727e-01,9.472843408584594727e-01,1.107659220695495605e+00
1.200000000000000000e+01,1.594662547111511230e+00,7.973312735557556152e-01,7.967163920402526855e-01,7.967163920402526855e-01,2.777801036834716797e+00,1.815161108970642090e+00,9.075805544853210449e-01,9.090764522552490234e-01,9.090764522552490234e-01,1.198984742164611816e+00
1.300000000000000000e+01,1.557454109191894531e+00,7.787270545959472656e-01,7.779559493064880371e-01,7.779559493064880371e-01,2.807301759719848633e+00,1.758194327354431152e+00,8.790971636772155762e-01,8.807084560394287109e-01,8.807084560394287109e-01,1.290617942810058594e+00
1.400000000000000000e+01,1.534381270408630371e+00,7.671906352043151855e-01,7.678575515747070312e-01,7.678575515747070312e-01,2.838566303253173828e+00,1.714451789855957031e+00,8.572258949279785156e-01,8.587697744369506836e-01,8.587697744369506836e-01,1.380562543869018555e+00
1.500000000000000000e+01,1.520220518112182617e+00,7.601102590560913086e-01,7.604960203170776367e-01,7.604960203170776367e-01,2.865220069885253906e+00,1.684484124183654785e+00,8.422420620918273926e-01,8.438366651535034180e-01,8.438366651535034180e-01,1.477971792221069336e+00
1.600000000000000000e+01,1.511906266212463379e+00,7.559531331062316895e-01,7.558813095092773438e-01,7.558813095092773438e-01,2.897737503051757812e+00,1.661244273185729980e+00,8.306221365928649902e-01,8.323099613189697266e-01,8.323099613189697266e-01,1.571884155273437500e+00
1.700000000000000000e+01,1.506265044212341309e+00,7.531325221061706543e-01,7.526144981384277344e-01,7.526144981384277344e-01,2.936036109924316406e+00,1.643101096153259277e+00,8.215505480766296387e-01,8.231878280639648438e-01,8.231878280639648438e-01,1.670074939727783203e+00
