epoch,loss,mse,total_loss,reconstruction_loss,kl_loss,val_loss,val_mse,val_total_loss,val_reconstruction_loss,val_kl_loss
1.000000000000000000e+01,1.832069635391235352e+00,9.160348176956176758e-01,9.136418104171752930e-01,9.136418104171752930e-01,2.509383440017700195e+00,1.843104600906372070e+00,9.215523004531860352e-01,9.233583211898803711e-01,9.233583211898803711e-01,8.626499772071838379e-01
1.100000000000000000e+01,1.722105145454406738e+00,8.610525727272033691e-01,8.614388704299926758e-01,8.614388704299926758e-01,2.591576099395751953e+00,1.754000782966613770e+00,8.770003914833068848e-01,8.788307905197143555e-01,8.788307905197143555e-01,9.648499488830566406e-01
1.200000000000000000e+01,1.635628223419189453e+00,8.178141117095947266e-01,8.159320354461669922e-01,8.159320354461669922e-01,2.662145614624023438e+00,1.685142636299133301e+00,8.425713181495666504e-01,8.443137407302856445e-01,8.443137407302856445e-01,1.080327033996582031e+00
1.300000000000000000e+01,1.570107460021972656e+00,7.850537300109863281e-01,7.832194566726684570e-01,7.832194566726684570e-01,2.734101295471191406e+00,1.646187782287597656e+00,8.230938911437988281e-01,8.248840570449829102e-01,8.248840570449829102e-01,1.188550949096679688e+00
1.400000000000000000e+01,1.517538428306579590e+00,7.587692141532897949e-01,7.588760852813720703e-01,7.588760852813720703e-01,2.796097755432128906e+00,1.610530018806457520e+00,8.052650094032287598e-01,8.070507049560546875e-01,8.070507049560546875e-01,1.309844017028808594e+00
1.500000000000000000e+01,1.488323450088500977e+00,7.441617250442504883e-01,7.443019151687622070e-01,7.443019151687622070e-01,2.864687919616699219e+00,1.590829253196716309e+00,7.954146265983581543e-01,7.972731590270996094e-01,7.972731590270996094e-01,1.433793902397155762e+00
1.600000000000000000e+01,1.461829781532287598e+00,7.309148907661437988e-01,7.316931486129760742e-01,7.316931486129760742e-01,2.934216499328613281e+00,1.569399595260620117e+00,7.846997976303100586e-01,7.865179777145385742e-01,7.865179777145385742e-01,1.548912525177001953e+00
1.700000000000000000e+01,1.444034337997436523e+00,7.220171689987182617e-01,7.209700942039489746e-01,7.209700942039489746e-01,2.990262031555175781e+00,1.546825885772705078e+00,7.734129428863525391e-01,7.754102945327758789e-01,7.754102945327758789e-01,1.659912109375000000e+00
1.800000000000000000e+01,1.425904870033264160e+00,7.129524350166320801e-01,7.130975723266601562e-01,7.130975723266601562e-01,3.043741226196289062e+00,1.525970816612243652e+00,7.629854083061218262e-01,7.648074626922607422e-01,7.648074626922607422e-01,1.763804435729980469e+00
1.900000000000000000e+01,1.412268877029418945e+00,7.061344385147094727e-01,7.064092159271240234e-01,7.064092159271240234e-01,3.079842805862426758e+00,1.512826204299926758e+00,7.564131021499633789e-01,7.581380605697631836e-01,7.581380605697631836e-01,1.859380006790161133e+00
2.000000000000000000e+01,1.402303457260131836e+00,7.011517286300659180e-01,6.994261145591735840e-01,6.994261145591735840e-01,3.118753433227539062e+00,1.493697881698608398e+00,7.468489408493041992e-01,7.486558556556701660e-01,7.486558556556701660e-01,1.972753047943115234e+00
2.100000000000000000e+01,1.392894506454467773e+00,6.964472532272338867e-01,6.957764029502868652e-01,6.957764029502868652e-01,3.175822734832763672e+00,1.483266949653625488e+00,7.416334748268127441e-01,7.433672547340393066e-01,7.433672547340393066e-01,2.090976953506469727e+00
2.200000000000000000e+01,1.381663918495178223e+00,6.908319592475891113e-01,6.906220912933349609e-01,6.906220912933349609e-01,3.227579116821289062e+00,1.468384265899658203e+00,7.341921329498291016e-01,7.357180118560791016e-01,7.357180118560791016e-01,2.205205440521240234e+00
2.300000000000000000e+01,1.372285246849060059e+00,6.861426234245300293e-01,6.865302324295043945e-01,6.865302324295043945e-01,3.279692173004150391e+00,1.452675104141235352e+00,7.263375520706176758e-01,7.280296683311462402e-01,7.280296683311462402e-01,2.319820880889892578e+00
2.400000000000000000e+01,1.363487362861633301e+00,6.817436814308166504e-01,6.831355094909667969e-01,6.831355094909667969e-01,3.324248313903808594e+00,1.447071075439453125e+00,7.235355377197265625e-01,7.254205942153930664e-01,7.254205942153930664e-01,2.415823698043823242e+00
